Seconds,Volts
4.293961E-05, 0.5977837
4.294965E-05, 0.5730325
4.295969E-05, 0.55773
4.296974E-05, 0.5421066
4.297978E-05, 0.6084302
4.298983E-05, 0.5713493
4.299987E-05, 0.5229534
4.300992E-05, 0.5087044
4.301996E-05, 0.5427778
4.303E-05, 0.5848085
4.304005E-05, 0.5092247
4.305009E-05, 0.4275885
4.306014E-05, 0.5339134
4.307018E-05, 0.562868
4.308022E-05, 0.4856269
4.309027E-05, 0.5195684
4.310031E-05, 0.3837444
4.311036E-05, 0.4437191
4.31204E-05, 0.468474
4.313045E-05, 0.4159989
4.314049E-05, 0.3855201
4.315054E-05, 0.3044907
4.316058E-05, 0.3353091
4.317062E-05, 0.4240179
4.318067E-05, 0.2614125
4.319071E-05, 0.3873449
4.320076E-05, 0.232704
4.32108E-05, 0.2946901
4.322085E-05, 0.2171243
4.323089E-05, 0.3264622
4.324094E-05, 0.2242291
4.325098E-05, 0.1499414
4.326102E-05, 0.197372
4.327107E-05, 0.2433313
4.328111E-05, 0.2457803
4.329116E-05, 0.2558995
4.33012E-05, 0.1066504
4.331125E-05, 0.2207248
4.332129E-05, 0.06590114
4.333134E-05, 0.1543191
4.334138E-05, 0.09845747
4.335143E-05, 0.0748039
4.336147E-05, 0.1352388
4.337151E-05, 0.06616995
4.338155E-05, 0.04804942
4.33916E-05, 0.0643983
4.340164E-05, -0.01251725
4.341169E-05, -0.02640228
4.342173E-05, 0.01354161
4.343178E-05, 0.02173603
4.344182E-05, -0.04617069
4.345187E-05, 0.03991191
4.346191E-05, -0.0767572
4.347195E-05, -0.05613612
4.3482E-05, -0.02907038
4.349204E-05, -0.03454305
4.350209E-05, -0.1739583
4.351213E-05, -0.1554353
4.352218E-05, -0.1645461
4.353222E-05, -0.1832054
4.354227E-05, -0.1691202
4.355231E-05, -0.1172893
4.356236E-05, -0.2178565
4.35724E-05, -0.2294923
4.358244E-05, -0.2624474
4.359249E-05, -0.1909016
4.360253E-05, -0.1676124
4.361258E-05, -0.2906671
4.362262E-05, -0.3376648
4.363267E-05, -0.2820737
4.364271E-05, -0.2422543
4.365276E-05, -0.40185
4.36628E-05, -0.4036398
4.367284E-05, -0.3440154
4.368289E-05, -0.3987548
4.369293E-05, -0.4216025
4.370297E-05, -0.3118774
4.371302E-05, -0.3484205
4.372306E-05, -0.4134353
4.373311E-05, -0.4538967
4.374315E-05, -0.3991717
4.37532E-05, -0.4154128
4.376324E-05, -0.4887476
4.377329E-05, -0.5249341
4.378333E-05, -0.5794082
4.379337E-05, -0.4916851
4.380342E-05, -0.4950873
4.381346E-05, -0.5440105
4.382351E-05, -0.5157918
4.383355E-05, -0.5008618
4.38436E-05, -0.5433104
4.385364E-05, -0.5537522
4.386369E-05, -0.5590858
4.387373E-05, -0.5559254
4.388377E-05, -0.7015836
4.389382E-05, -0.7253516
4.390386E-05, -0.6888615
4.391391E-05, -0.6370623
4.392395E-05, -0.7177119
4.3934E-05, -0.679904
4.394404E-05, -0.7376441
4.395409E-05, -0.6745324
4.396413E-05, -0.740274
4.397417E-05, -0.6882711
4.398422E-05, -0.6953278
4.399426E-05, -0.7067409
4.400431E-05, -0.8914242
4.401435E-05, -0.7740669
4.40244E-05, -0.7706685
4.403444E-05, -0.7780805
4.404448E-05, -0.8615362
4.405453E-05, -0.7900459
4.406457E-05, -0.8766593
4.407462E-05, -0.9282115
4.408466E-05, -0.9954388
4.40947E-05, 0.3860239
4.410475E-05, 0.8683022
4.411479E-05, 0.9356377
4.412484E-05, 0.8029231
4.413488E-05, 0.8615115
4.414493E-05, 0.8083715
4.415497E-05, 0.7953311
4.416502E-05, 0.7471759
4.417506E-05, 0.8685367
4.41851E-05, 0.7881807
4.419515E-05, 0.8459693
4.420519E-05, 0.7007875
4.421524E-05, 0.780529
4.422528E-05, 0.7684338
4.423533E-05, 0.7844377
4.424537E-05, 0.625631
4.425542E-05, 0.7566677
4.426546E-05, 0.7273626
4.42755E-05, 0.6800123
4.428555E-05, 0.614841
4.429559E-05, 0.6163145
4.430564E-05, 0.5858519
4.431568E-05, 0.6076756
4.432573E-05, 0.5746595
4.433577E-05, 0.548947
4.434582E-05, 0.6461734
4.435586E-05, 0.4776596
4.43659E-05, 0.5706393
4.437595E-05, 0.480609
4.438599E-05, 0.5347123
4.439603E-05, 0.5208272
4.440608E-05, 0.4257637
4.441612E-05, 0.4463896
4.442617E-05, 0.4640048
4.443621E-05, 0.3616069
4.444626E-05, 0.3837183
4.44563E-05, 0.3338369
4.446635E-05, 0.3640563
4.447639E-05, 0.3288109
4.448643E-05, 0.4040242
4.449648E-05, 0.341736
4.450652E-05, 0.2693896
4.451657E-05, 0.2522652
4.452661E-05, 0.2807463
4.453666E-05, 0.2910154
4.45467E-05, 0.2526167
4.455675E-05, 0.2610331
4.456679E-05, 0.2390274
4.457683E-05, 0.226459
4.458688E-05, 0.2103444
4.459692E-05, 0.2065267
4.460697E-05, 0.1916081
4.461701E-05, 0.2413923
4.462706E-05, 0.1620998
4.46371E-05, 0.1799541
4.464715E-05, 0.2350482
4.465719E-05, 0.1609007
4.466723E-05, 0.154094
4.467728E-05, 0.1879731
4.468732E-05, 0.05017371
4.469737E-05, 0.01148263
4.470741E-05, -0.01013247
4.471745E-05, 0.1239589
4.47275E-05, -0.01891546
4.473754E-05, 0.1100882
4.474759E-05, -0.01296659
4.475763E-05, -0.04671193
4.476768E-05, -0.08682855
4.477772E-05, -0.06551429
4.478776E-05, 0.01971345
4.479781E-05, -0.07792585
4.480785E-05, -0.001429997
4.48179E-05, -0.09893847
4.482794E-05, -0.04135733
4.483799E-05, -0.07208863
4.484803E-05, -0.1334954
4.485808E-05, -0.2184026
4.486812E-05, -0.1186766
4.487816E-05, -0.1896711
4.488821E-05, -0.1291095
4.489825E-05, -0.1385524
4.49083E-05, -0.2051649
4.491834E-05, -0.1930262
4.492839E-05, -0.257262
4.493843E-05, -0.2379586
4.494848E-05, -0.3499666
4.495852E-05, -0.3497297
4.496856E-05, -0.3776836
4.497861E-05, -0.3845081
4.498865E-05, -0.2902212
4.49987E-05, -0.2813111
4.500874E-05, -0.4073318
4.501879E-05, -0.278692
4.502883E-05, -0.361606
4.503888E-05, -0.4297922
4.504892E-05, -0.4804666
4.505896E-05, -0.4377621
4.506901E-05, -0.5081609
4.507905E-05, -0.3674172
4.508909E-05, -0.5309611
4.509914E-05, -0.5098446
4.510918E-05, -0.4341204
4.511923E-05, -0.4878837
4.512927E-05, -0.4796818
4.513932E-05, -0.600569
4.514936E-05, -0.54401
4.515941E-05, -0.6344332
4.516945E-05, -0.5559911
4.517949E-05, -0.6656598
4.518954E-05, -0.6780204
